Time,Feat1,Feat2,Feat3,Feat4,Feat5,Feat6,Feat7,Y
970511,1,1,2734,6702,2698,4814,12, 1
970511,1,2,2022,6419,1999,4692,17, 0
970511,1,3,2336,6202,2320,4833,-133, 0
970511,1,4,2189,5894,2158,4742,80, 0
970511,1,5,1617,5585,1576,4560,299, 0
970511,1,6,1529,5395,1473,4392,529, 0
970511,1,7,1494,5201,1421,4226,699, 0
970511,1,8,1241,5040,1169,4094,774, 0
970511,1,9,1346,4985,1118,3988,800, 0
970511,1,10,1388,4931,1135,3889,800, 0
970511,1,11,1466,5003,1380,3820,800, 0
970511,1,12,1382,5036,1300,3826,800, 0
970511,1,13,1458,5163,1371,3791,800, 0
970511,1,14,1550,5346,1469,3824,683, 0
970511,1,15,1555,5620,1477,3755,683, 0
970511,1,16,1611,6092,1428,3801,683, 0
970511,1,17,1810,6600,1545,3969,712, 0
970511,1,18,2107,7066,2016,4079,652, 0
970511,1,19,2341,7522,2254,4153,667, 0
970511,1,20,2991,7750,2788,4223,653, 1
970511,1,21,2980,7722,2704,4254,611, 1
970511,1,22,3384,7650,3177,4246,688, 1
970511,1,23,3180,7574,2938,4252,648, 1
970511,1,24,2801,7432,2640,4265,602, 1
970511,1,25,2485,7275,2388,4240,512, 0
970511,1,26,1950,7076,1882,4207,564, 0
970511,1,27,1835,6860,1610,4191,453, 0
970511,1,28,1965,6695,1636,4128,353, 0
970511,1,29,1623,6582,1254,4088,403, 0
970511,1,30,1739,6559,1488,4050,403, 0
970511,1,31,1926,6602,1701,4024,353, 0
970511,1,32,1646,6674,1602,4050,548, 0
970511,1,33,1627,6773,1561,4089,587, 0
970511,1,34,1717,7103,1654,4189,528, 0
970511,1,35,2016,7505,1984,4394,210, 0
970511,1,36,3049,8001,3006,4712,59, 1
970511,1,37,3245,8128,3201,4862,-22, 1
970511,1,38,3080,8024,3065,4823,-15, 1
970511,1,39,2968,7868,2964,4762,26, 1
970511,1,40,2897,7679,2878,4721,62, 1
970511,1,41,2464,7556,2454,4641,44, 1
970511,1,42,2526,7464,2513,4599,118, 1
970511,1,43,1889,7157,1865,4516,238, 0
970511,1,44,1550,6836,1502,4486,583, 0
970511,1,45,1771,6934,1711,4465,381, 0
970511,1,46,1750,6900,1692,4474,416, 0
970511,1,47,1965,6896,1919,4769,177, 0
970511,1,48,1646,6627,1614,4728,273, 0
970512,2,1,1703,6518,1660,4682,323, 0
970512,2,2,1586,6263,1537,4597,396, 0
970512,2,3,1727,6118,1679,4762,279, 0
970512,2,4,1674,5901,1618,4687,456, 0
970512,2,5,1550,5661,1476,4561,654, 0
970512,2,6,1494,5467,1396,4426,800, 0
970512,2,7,1468,5326,1220,4298,800, 0
970512,2,8,1465,5211,1370,4185,800, 0
970512,2,9,1537,5221,1450,4077,698, 0
970512,2,10,1576,5255,1496,4017,670, 0
970512,2,11,1471,5500,1400,4052,590, 0
970512,2,12,1497,5830,1441,4173,417, 0
